-0.92 -0.5 -1.05 -1.2 -1.11 -1.04 -1.33 -1.01
0.82 0.56 0.28 0.42 1.3 2.09 2.85 2.73
-0.69 -0.52 -1.22 -1.32 -0.55 -0.77 -0.4 -0.71
1.33 1.44 0.46 -0.34 -0.26 -0.98 -1.48 -1.32
0.31 -0.75 -0.67 -0.39 0.25 1.28 2.35 2.46
-2.07 -1.19 -1.21 -1.88 -0.88 0.96 1.76 0.99
-1.76 -1.66 -0.84 -0.92 -0.64 -0.25 0.49 1.11
-0.35 -0.99 -0.73 -0.67 -0.02 0.42 1.19 2.05
-0.63 -1.19 -0.84 0.09 -0.3 -0.21 -0.29 -0.53
-0.22 0.08 -0.74 -0.25 0.01 -0.07 0.25 0.3
1.53 0.6 -0.03 0.19 -0.27 0.25 0.53 0.97
0.18 0.54 -0.26 -0.64 -0.41 0.92 1.49 1.65
1.09 0.51 -0.39 -0.18 -0.19 0.06 0.32 1.68
0.39 0.96 0.83 0.5 0.5 0.64 0.88 0.64
0.5 0.47 -0.46 -0.53 -0.45 -0.49 -0.58 0.29
-0.47 0.2 0.7 -0.2 -0.06 0.37 0.26 1.03
-1.68 -2.11 -2.1 -2.66 -3.16 -3.89 -3.25 -3.11
0.73 0.04 -0.61 -0.99 -0.61 -0.88 -0.39 0.67
-0.59 -0.52 0.12 -0.21 -0.09 -0.6 -0.79 -0.86
2.48 2.02 2.08 1.56 1.83 2.6 2.66 2.29
-1.15 -0.47 -1.13 -2.25 -1.56 -0.23 1.26 1.38
0.25 0.46 1.16 0.21 0.34 0.18 0.32 0.39
0.33 1.27 0.6 0.13 0.36 0.47 0.14 -0.17
0.11 0.72 0.23 0.23 0.03 -0.08 0.08 0.07
-0.18 -0.28 0.37 0.12 0.15 -0.22 -0.2 -0.44
-0.47 -0.07 0.05 -0.36 -0.35 -0.43 -0.53 -0.7
-0.85 0.86 0.97 0.12 1.17 2.07 2.97 3.39
-0.32 -0.76 -0.76 0 -0.21 0.14 0.32 1.99
